Arka Gdynia;arka_gdynia.png
Bruk-Bet Nieciecza;bruk-bet_nieciecza.png
Cracovia Kraków;cracovia_krakow.svg
Górnik Zabrze;gornik_zabrze.svg
Jagiellonia Białystok;jagiellonia_bialystok.png
Korona Kielce;korona_kielce.png
Lech Poznań;lech_poznan.svg
Lechia Gdańsk;lechia_gdansk.png
Legia Warszawa;legia_warszawa.svg
Piast Gliwice;piast_gliwice.svg
Pogoń Szczecin;pogon_szczecin.svg
Sandecja Nowy Sącz;sandecja_nowy_sacz.png
Śląsk Wrocław;slask_wroclaw.png
Wisła Kraków;wisla_krakow.png
Wisła Płock;wisla_plock.svg
Zagłębie Lubin;zaglebie_lubin.svg
