Arsenal Londyn;arsenal_londyn.svg
Bournemouth;bournemouth.svg
Brighton & Hove Albion;brighton.svg
Burnley;burnley.png
Chelsea Londyn;chelsea_londyn.svg
Crystal Palace;crystal_palace.svg
Everton;everton.svg
Huddersfield;huddersfield.svg
Leicester City;leicester_city.svg
Liverpool;liverpool.svg
Manchester City;manchester_city.svg
Manchester United;manchester_united.svg
Newcastle United;newcastle_united.svg
Southampton;southampton.svg
Stoke City;stoke_city.svg
Swansea;swansea.svg
Tottenham Hotspur;tottenham_hotspur.svg
Watford;watford.svg
West Bromwich Albion;west_bromwich_albion.svg
West Ham United;west_ham_united.svg
